series,reporting_date,n_returned,n_retained,n_chargeoff,n_other,scheduled_returned,realized_returned,excess_fees_returned,cum_n_returned,cum_n_retained,cum_n_chargeoff,cum_n_other,cum_scheduled_returned,cum_realized_returned,cum_excess_fees_returned,initial_pool_balance
Volkswagen Auto Lease Trust 2019-A,2019-08-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1869580231.2195778
Volkswagen Auto Lease Trust 2019-A,2019-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1869580231.2195778
Volkswagen Auto Lease Trust 2019-A,2019-11-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1869580231.2195778
Volkswagen Auto Lease Trust 2019-A,2019-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1869580231.2195778
Volkswagen Auto Lease Trust 2019-A,2020-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1869580231.2195778
Volkswagen Auto Lease Trust 2019-A,2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1869580231.2195778
Volkswagen Auto Lease Trust 2019-A,2020-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1869580231.2195778
Volkswagen Auto Lease Trust 2019-A,2020-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1869580231.2195778
Volkswagen Auto Lease Trust 2019-A,2020-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1869580231.2195778
Volkswagen Auto Lease Trust 2019-A,2020-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1869580231.2195778
Volkswagen Auto Lease Trust 2019-A,2020-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1869580231.2195778
Volkswagen Auto Lease Trust 2019-A,2020-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1869580231.2195778
Volkswagen Auto Lease Trust 2019-A,2020-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1869580231.2195778
Volkswagen Auto Lease Trust 2019-A,2020-10-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1869580231.2195778
Volkswagen Auto Lease Trust 2019-A,2020-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1869580231.2195778
Volkswagen Auto Lease Trust 2019-A,2020-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1869580231.2195778
Volkswagen Auto Lease Trust 2019-A,2021-01-29,11452.0,661.0,183.0,218.0,183070021.77499998,260676696.247886,941895.87,11452.0,661.0,183.0,218.0,183070021.77499998,260676696.247886,941895.87,1869580231.2195778
Volkswagen Auto Lease Trust 2019-A,2021-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11452.0,661.0,183.0,218.0,183070021.77499998,260676696.247886,941895.87,1869580231.2195778
Volkswagen Auto Lease Trust 2019-A,2021-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11452.0,661.0,183.0,218.0,183070021.77499998,260676696.247886,941895.87,1869580231.2195778
Volkswagen Auto Lease Trust 2019-A,2021-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11452.0,661.0,183.0,218.0,183070021.77499998,260676696.247886,941895.87,1869580231.2195778
Volkswagen Auto Lease Trust 2019-A,2021-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11452.0,661.0,183.0,218.0,183070021.77499998,260676696.247886,941895.87,1869580231.2195778
Volkswagen Auto Lease Trust 2019-A,2021-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11452.0,661.0,183.0,218.0,183070021.77499998,260676696.247886,941895.87,1869580231.2195778
Volkswagen Auto Lease Trust 2019-A,2021-07-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11452.0,661.0,183.0,218.0,183070021.77499998,260676696.247886,941895.87,1869580231.2195778
