series,reporting_date,cum_returned,crr_basic,crr_with_fees,gl_pct_pool,gl_pct_resid,avg_gl_per_vehicle,vintage_month,period_realized,period_scheduled
Mercedes-Benz Auto Lease Trust 2021-A,2022-02-28,0,,,,,,14,0.0,0.0
Mercedes-Benz Auto Lease Trust 2021-A,2022-03-31,0,,,,,,15,0.0,0.0
Mercedes-Benz Auto Lease Trust 2021-A,2022-04-30,0,,,,,,16,0.0,0.0
Mercedes-Benz Auto Lease Trust 2021-A,2022-05-31,0,,,,,,17,0.0,0.0
Mercedes-Benz Auto Lease Trust 2021-A,2022-06-30,0,,,,,,18,0.0,0.0
Mercedes-Benz Auto Lease Trust 2021-A,2022-07-31,0,,,,,,19,0.0,0.0
Mercedes-Benz Auto Lease Trust 2021-A,2022-08-31,0,,,,,,20,0.0,0.0
Mercedes-Benz Auto Lease Trust 2021-A,2022-09-30,0,,,,,,21,0.0,0.0
Mercedes-Benz Auto Lease Trust 2021-A,2022-10-31,0,,,,,,22,0.0,0.0
Mercedes-Benz Auto Lease Trust 2021-A,2022-11-30,0,,,,,,23,0.0,0.0
Mercedes-Benz Auto Lease Trust 2021-A,2022-12-31,0,,,,,,24,0.0,0.0
Mercedes-Benz Auto Lease Trust 2021-A,2023-01-31,0,,,,,,25,0.0,0.0
Mercedes-Benz Auto Lease Trust 2021-A,2023-02-28,0,,,,,,26,0.0,0.0
Mercedes-Benz Auto Lease Trust 2021-A,2023-03-31,0,,,,,,27,0.0,0.0
Mercedes-Benz Auto Lease Trust 2021-A,2023-04-30,0,,,,,,28,0.0,0.0
Mercedes-Benz Auto Lease Trust 2021-A,2023-05-31,0,,,,,,29,0.0,0.0
Mercedes-Benz Auto Lease Trust 2021-A,2023-06-30,0,,,,,,30,0.0,0.0
Mercedes-Benz Auto Lease Trust 2021-B,2021-05-31,0,,,,,,0,0.0,0.0
Mercedes-Benz Auto Lease Trust 2021-B,2021-06-30,0,,,,,,1,0.0,0.0
Mercedes-Benz Auto Lease Trust 2021-B,2021-07-31,0,,,,,,2,0.0,0.0
Mercedes-Benz Auto Lease Trust 2021-B,2021-08-31,0,,,,,,3,0.0,0.0
Mercedes-Benz Auto Lease Trust 2021-B,2021-09-30,0,,,,,,4,0.0,0.0
Mercedes-Benz Auto Lease Trust 2021-B,2021-10-31,0,,,,,,5,0.0,0.0
Mercedes-Benz Auto Lease Trust 2021-B,2021-11-30,0,,,,,,6,0.0,0.0
Mercedes-Benz Auto Lease Trust 2021-B,2021-12-31,0,,,,,,7,0.0,0.0
Mercedes-Benz Auto Lease Trust 2021-B,2022-01-31,0,,,,,,8,0.0,0.0
Mercedes-Benz Auto Lease Trust 2021-B,2022-02-28,0,,,,,,9,0.0,0.0
Mercedes-Benz Auto Lease Trust 2021-B,2022-03-31,0,,,,,,10,0.0,0.0
Mercedes-Benz Auto Lease Trust 2021-B,2022-04-30,0,,,,,,11,0.0,0.0
Mercedes-Benz Auto Lease Trust 2021-B,2022-05-31,0,,,,,,12,0.0,0.0
Mercedes-Benz Auto Lease Trust 2021-B,2022-06-30,0,,,,,,13,0.0,0.0
Mercedes-Benz Auto Lease Trust 2021-B,2022-07-31,0,,,,,,14,0.0,0.0
Mercedes-Benz Auto Lease Trust 2021-B,2022-08-31,0,,,,,,15,0.0,0.0
Mercedes-Benz Auto Lease Trust 2021-B,2022-09-30,0,,,,,,16,0.0,0.0
Mercedes-Benz Auto Lease Trust 2021-B,2022-10-31,0,,,,,,17,0.0,0.0
Mercedes-Benz Auto Lease Trust 2021-B,2022-11-30,0,,,,,,18,0.0,0.0
Mercedes-Benz Auto Lease Trust 2021-B,2022-12-31,0,,,,,,19,0.0,0.0
Mercedes-Benz Auto Lease Trust 2021-B,2023-01-31,0,,,,,,20,0.0,0.0
Mercedes-Benz Auto Lease Trust 2021-B,2023-02-28,0,,,,,,21,0.0,0.0
Mercedes-Benz Auto Lease Trust 2021-B,2023-03-31,0,,,,,,22,0.0,0.0
Mercedes-Benz Auto Lease Trust 2021-B,2023-04-30,0,,,,,,23,0.0,0.0
Mercedes-Benz Auto Lease Trust 2021-B,2023-05-31,0,,,,,,24,0.0,0.0
Mercedes-Benz Auto Lease Trust 2021-B,2023-06-30,0,,,,,,25,0.0,0.0
Mercedes-Benz Auto Lease Trust 2021-B,2023-07-31,0,,,,,,26,0.0,0.0
Mercedes-Benz Auto Lease Trust 2021-B,2023-08-31,0,,,,,,27,0.0,0.0
Mercedes-Benz Auto Lease Trust 2021-B,2023-09-30,0,,,,,,28,0.0,0.0
Mercedes-Benz Auto Lease Trust 2021-B,2023-10-31,0,,,,,,29,0.0,0.0
Mercedes-Benz Auto Lease Trust 2021-B,2023-11-30,0,,,,,,30,0.0,0.0
Mercedes-Benz Auto Lease Trust 2021-B,2023-12-31,0,,,,,,31,0.0,0.0
Mercedes-Benz Auto Lease Trust 2021-B,2024-01-31,0,,,,,,32,0.0,0.0
Mercedes-Benz Auto Lease Trust 2021-B,2024-02-29,0,,,,,,33,0.0,0.0
Mercedes-Benz Auto Lease Trust 2023-A,2023-04-30,0,,,,,,0,0.0,0.0
Mercedes-Benz Auto Lease Trust 2023-A,2023-05-31,0,,,,,,1,0.0,0.0
Mercedes-Benz Auto Lease Trust 2023-A,2023-06-30,0,,,,,,2,0.0,0.0
Mercedes-Benz Auto Lease Trust 2023-A,2023-07-31,0,,,,,,3,0.0,0.0
Mercedes-Benz Auto Lease Trust 2023-A,2023-08-31,0,,,,,,4,0.0,0.0
Mercedes-Benz Auto Lease Trust 2023-A,2023-09-30,0,,,,,,5,0.0,0.0
Mercedes-Benz Auto Lease Trust 2023-A,2023-10-31,0,,,,,,6,0.0,0.0
Mercedes-Benz Auto Lease Trust 2023-A,2023-11-30,0,,,,,,7,0.0,0.0
Mercedes-Benz Auto Lease Trust 2023-A,2023-12-31,0,,,,,,8,0.0,0.0
Mercedes-Benz Auto Lease Trust 2023-A,2024-01-31,0,,,,,,9,0.0,0.0
Mercedes-Benz Auto Lease Trust 2023-A,2024-02-29,0,,,,,,10,0.0,0.0
Mercedes-Benz Auto Lease Trust 2023-A,2024-03-31,0,,,,,,11,0.0,0.0
Mercedes-Benz Auto Lease Trust 2023-A,2024-04-30,0,,,,,,12,0.0,0.0
Mercedes-Benz Auto Lease Trust 2023-A,2024-05-31,0,,,,,,13,0.0,0.0
