issuer_code,series_label,deal_name,vintage_year,months_seasoned,distribution_date,cnl_ratio,net_losses_cum,original_pool_balance
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,2018,1,2018-02-16,0.00000000,0.00000000,1346226236.00000000
GMCAR,GMCAR 2018-4,GM Financial Consumer Automobile Receivables Trust 2018-4,2018,1,2018-11-16,0.00000000,0.00000000,1347098324.00000000
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,2018,1,2018-05-16,0.00000000,0.00000000,1357996691.00000000
GMCAR,GMCAR 2018-3,GM Financial Consumer Automobile Receivables Trust 2018-3,2018,1,2018-08-16,0.00000000,0.00000000,1357918658.00000000
GMCAR,GMCAR 2018-4,GM Financial Consumer Automobile Receivables Trust 2018-4,2018,2,2018-12-17,0.00002876,38749.00000000,1347098324.00000000
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,2018,2,2018-03-16,0.00000375,5055.00000000,1346226236.00000000
GMCAR,GMCAR 2018-3,GM Financial Consumer Automobile Receivables Trust 2018-3,2018,2,2018-09-17,0.00005584,75827.00000000,1357918658.00000000
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,2018,2,2018-06-18,0.00005094,69170.00000000,1357996691.00000000
GMCAR,GMCAR 2018-3,GM Financial Consumer Automobile Receivables Trust 2018-3,2018,3,2018-10-16,0.00015198,206377.00000000,1357918658.00000000
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,2018,3,2018-07-16,0.00020499,278369.00000000,1357996691.00000000
GMCAR,GMCAR 2018-4,GM Financial Consumer Automobile Receivables Trust 2018-4,2018,3,2019-01-16,0.00009713,130841.00000000,1347098324.00000000
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,2018,3,2018-04-16,0.00004340,58425.00000000,1346226236.00000000
GMCAR,GMCAR 2018-3,GM Financial Consumer Automobile Receivables Trust 2018-3,2018,4,2018-11-16,0.00035125,476967.00000000,1357918658.00000000
GMCAR,GMCAR 2018-4,GM Financial Consumer Automobile Receivables Trust 2018-4,2018,4,2019-02-19,0.00021589,290826.00000000,1347098324.00000000
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,2018,4,2018-08-16,0.00032662,443546.00000000,1357996691.00000000
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,2018,4,2018-05-16,0.00024078,324146.00000000,1346226236.00000000
GMCAR,GMCAR 2018-4,GM Financial Consumer Automobile Receivables Trust 2018-4,2018,5,2019-03-18,0.00034138,459869.00000000,1347098324.00000000
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,2018,5,2018-06-18,0.00044833,603557.00000000,1346226236.00000000
GMCAR,GMCAR 2018-3,GM Financial Consumer Automobile Receivables Trust 2018-3,2018,5,2018-12-17,0.00059740,811226.00000000,1357918658.00000000
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,2018,5,2018-09-17,0.00050763,689363.00000000,1357996691.00000000
GMCAR,GMCAR 2018-3,GM Financial Consumer Automobile Receivables Trust 2018-3,2018,6,2019-01-16,0.00090456,1228321.00000000,1357918658.00000000
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,2018,6,2018-10-16,0.00075396,1023872.00000000,1357996691.00000000
GMCAR,GMCAR 2018-4,GM Financial Consumer Automobile Receivables Trust 2018-4,2018,6,2019-04-16,0.00054462,733655.00000000,1347098324.00000000
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,2018,6,2018-07-16,0.00076355,1027908.00000000,1346226236.00000000
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,2018,7,2018-08-16,0.00095021,1279196.00000000,1346226236.00000000
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,2018,7,2018-11-16,0.00095215,1293022.00000000,1357996691.00000000
GMCAR,GMCAR 2018-3,GM Financial Consumer Automobile Receivables Trust 2018-3,2018,7,2019-02-19,0.00118759,1612650.00000000,1357918658.00000000
GMCAR,GMCAR 2018-4,GM Financial Consumer Automobile Receivables Trust 2018-4,2018,7,2019-05-16,0.00086627,1166955.00000000,1347098324.00000000
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,2018,8,2018-09-17,0.00126307,1700375.00000000,1346226236.00000000
GMCAR,GMCAR 2018-4,GM Financial Consumer Automobile Receivables Trust 2018-4,2018,8,2019-06-17,0.00100798,1357851.00000000,1347098324.00000000
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,2018,8,2018-12-17,0.00110166,1496047.00000000,1357996691.00000000
GMCAR,GMCAR 2018-3,GM Financial Consumer Automobile Receivables Trust 2018-3,2018,8,2019-03-18,0.00147354,2000944.00000000,1357918658.00000000
GMCAR,GMCAR 2018-4,GM Financial Consumer Automobile Receivables Trust 2018-4,2018,9,2019-07-16,0.00117606,1584274.00000000,1347098324.00000000
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,2018,9,2018-10-16,0.00143968,1938134.00000000,1346226236.00000000
GMCAR,GMCAR 2018-3,GM Financial Consumer Automobile Receivables Trust 2018-3,2018,9,2019-04-16,0.00164297,2231023.00000000,1357918658.00000000
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,2018,9,2019-01-16,0.00128444,1744271.00000000,1357996691.00000000
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,2018,10,2019-02-19,0.00139336,1892180.00000000,1357996691.00000000
GMCAR,GMCAR 2018-4,GM Financial Consumer Automobile Receivables Trust 2018-4,2018,10,2019-08-16,0.00138715,1868632.00000000,1347098324.00000000
GMCAR,GMCAR 2018-3,GM Financial Consumer Automobile Receivables Trust 2018-3,2018,10,2019-05-16,0.00180726,2454113.00000000,1357918658.00000000
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,2018,10,2018-11-16,0.00159090,2141712.00000000,1346226236.00000000
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,2018,11,2018-12-17,0.00180663,2432136.00000000,1346226236.00000000
GMCAR,GMCAR 2018-3,GM Financial Consumer Automobile Receivables Trust 2018-3,2018,11,2019-06-17,0.00200692,2725234.00000000,1357918658.00000000
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,2018,11,2019-03-18,0.00176861,2401763.00000000,1357996691.00000000
GMCAR,GMCAR 2018-4,GM Financial Consumer Automobile Receivables Trust 2018-4,2018,11,2019-09-16,0.00158082,2129521.00000000,1347098324.00000000
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,2018,12,2019-04-16,0.00200776,2726534.00000000,1357996691.00000000
GMCAR,GMCAR 2018-4,GM Financial Consumer Automobile Receivables Trust 2018-4,2018,12,2019-10-16,0.00170962,2303021.00000000,1347098324.00000000
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,2018,12,2019-01-16,0.00209227,2816670.00000000,1346226236.00000000
GMCAR,GMCAR 2018-3,GM Financial Consumer Automobile Receivables Trust 2018-3,2018,12,2019-07-16,0.00230036,3123695.00000000,1357918658.00000000
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,2018,13,2019-02-19,0.00225674,3038076.00000000,1346226236.00000000
GMCAR,GMCAR 2018-4,GM Financial Consumer Automobile Receivables Trust 2018-4,2018,13,2019-11-18,0.00187144,2521016.00000000,1347098324.00000000
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,2018,13,2019-05-16,0.00228514,3103215.00000000,1357996691.00000000
GMCAR,GMCAR 2018-3,GM Financial Consumer Automobile Receivables Trust 2018-3,2018,13,2019-08-16,0.00254293,3453098.00000000,1357918658.00000000
GMCAR,GMCAR 2018-4,GM Financial Consumer Automobile Receivables Trust 2018-4,2018,14,2019-12-16,0.00210930,2841431.00000000,1347098324.00000000
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,2018,14,2019-03-18,0.00256162,3448517.00000000,1346226236.00000000
GMCAR,GMCAR 2018-3,GM Financial Consumer Automobile Receivables Trust 2018-3,2018,14,2019-09-16,0.00260739,3540627.00000000,1357918658.00000000
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,2018,14,2019-06-17,0.00239107,3247071.00000000,1357996691.00000000
GMCAR,GMCAR 2018-3,GM Financial Consumer Automobile Receivables Trust 2018-3,2018,15,2019-10-16,0.00278215,3777933.00000000,1357918658.00000000
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,2018,15,2019-07-16,0.00247257,3357743.00000000,1357996691.00000000
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,2018,15,2019-04-16,0.00270965,3647799.00000000,1346226236.00000000
GMCAR,GMCAR 2018-4,GM Financial Consumer Automobile Receivables Trust 2018-4,2018,15,2020-01-16,0.00241075,3247521.00000000,1347098324.00000000
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,2018,16,2019-05-16,0.00281955,3795748.00000000,1346226236.00000000
GMCAR,GMCAR 2018-3,GM Financial Consumer Automobile Receivables Trust 2018-3,2018,16,2019-11-18,0.00293194,3981335.00000000,1357918658.00000000
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,2018,16,2019-08-16,0.00268119,3641046.00000000,1357996691.00000000
GMCAR,GMCAR 2018-4,GM Financial Consumer Automobile Receivables Trust 2018-4,2018,16,2020-02-18,0.00276550,3725407.00000000,1347098324.00000000
GMCAR,GMCAR 2018-4,GM Financial Consumer Automobile Receivables Trust 2018-4,2018,17,2020-03-16,0.00287886,3878109.00000000,1347098324.00000000
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,2018,17,2019-06-17,0.00313840,4224998.00000000,1346226236.00000000
GMCAR,GMCAR 2018-3,GM Financial Consumer Automobile Receivables Trust 2018-3,2018,17,2019-12-16,0.00324320,4403996.00000000,1357918658.00000000
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,2018,17,2019-09-16,0.00289605,3932829.00000000,1357996691.00000000
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,2018,18,2019-10-16,0.00314664,4273131.00000000,1357996691.00000000
GMCAR,GMCAR 2018-4,GM Financial Consumer Automobile Receivables Trust 2018-4,2018,18,2020-04-16,0.00319791,4307905.00000000,1347098324.00000000
GMCAR,GMCAR 2018-3,GM Financial Consumer Automobile Receivables Trust 2018-3,2018,18,2020-01-16,0.00346044,4698998.00000000,1357918658.00000000
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,2018,18,2019-07-16,0.00329778,4439564.00000000,1346226236.00000000
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,2018,19,2019-08-16,0.00347513,4678313.00000000,1346226236.00000000
GMCAR,GMCAR 2018-4,GM Financial Consumer Automobile Receivables Trust 2018-4,2018,19,2020-05-18,0.00331528,4466014.00000000,1347098324.00000000
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,2018,19,2019-11-18,0.00328267,4457855.00000000,1357996691.00000000
GMCAR,GMCAR 2018-3,GM Financial Consumer Automobile Receivables Trust 2018-3,2018,19,2020-02-18,0.00369089,5011923.00000000,1357918658.00000000
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,2018,20,2019-12-16,0.00359876,4887110.00000000,1357996691.00000000
GMCAR,GMCAR 2018-4,GM Financial Consumer Automobile Receivables Trust 2018-4,2018,20,2020-06-16,0.00357824,4820244.00000000,1347098324.00000000
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,2018,20,2019-09-16,0.00373969,5034475.00000000,1346226236.00000000
GMCAR,GMCAR 2018-3,GM Financial Consumer Automobile Receivables Trust 2018-3,2018,20,2020-03-16,0.00409059,5554686.00000000,1357918658.00000000
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,2018,21,2020-01-16,0.00380440,5166365.00000000,1357996691.00000000
GMCAR,GMCAR 2018-4,GM Financial Consumer Automobile Receivables Trust 2018-4,2018,21,2020-07-16,0.00385672,5195387.00000000,1347098324.00000000
GMCAR,GMCAR 2018-3,GM Financial Consumer Automobile Receivables Trust 2018-3,2018,21,2020-04-16,0.00445699,6052229.00000000,1357918658.00000000
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,2018,21,2019-10-16,0.00385708,5192502.00000000,1346226236.00000000
GMCAR,GMCAR 2018-3,GM Financial Consumer Automobile Receivables Trust 2018-3,2018,22,2020-05-18,0.00454876,6176846.00000000,1357918658.00000000
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,2018,22,2020-02-18,0.00399868,5430188.00000000,1357996691.00000000
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,2018,22,2019-11-18,0.00398740,5367945.00000000,1346226236.00000000
GMCAR,GMCAR 2018-4,GM Financial Consumer Automobile Receivables Trust 2018-4,2018,22,2020-08-17,0.00399071,5375882.00000000,1347098324.00000000
GMCAR,GMCAR 2018-3,GM Financial Consumer Automobile Receivables Trust 2018-3,2018,23,2020-06-16,0.00477102,6478657.00000000,1357918658.00000000
GMCAR,GMCAR 2018-4,GM Financial Consumer Automobile Receivables Trust 2018-4,2018,23,2020-09-16,0.00418024,5631191.00000000,1347098324.00000000
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,2018,23,2020-03-16,0.00413516,5615537.00000000,1357996691.00000000
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,2018,23,2019-12-16,0.00412221,5549421.00000000,1346226236.00000000
GMCAR,GMCAR 2018-3,GM Financial Consumer Automobile Receivables Trust 2018-3,2018,24,2020-07-16,0.00499052,6776725.00000000,1357918658.00000000
GMCAR,GMCAR 2018-4,GM Financial Consumer Automobile Receivables Trust 2018-4,2018,24,2020-10-16,0.00434737,5856331.00000000,1347098324.00000000
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,2018,24,2020-04-16,0.00426846,5796549.00000000,1357996691.00000000
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,2018,24,2020-01-16,0.00427830,5759556.00000000,1346226236.00000000
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,2018,25,2020-05-18,0.00459524,6240314.00000000,1357996691.00000000
GMCAR,GMCAR 2018-4,GM Financial Consumer Automobile Receivables Trust 2018-4,2018,25,2020-11-16,0.00430000,5792519.00000000,1347098324.00000000
GMCAR,GMCAR 2018-3,GM Financial Consumer Automobile Receivables Trust 2018-3,2018,25,2020-08-17,0.00523804,7112830.00000000,1357918658.00000000
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,2018,25,2020-02-18,0.00451867,6083157.00000000,1346226236.00000000
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,2018,26,2020-03-16,0.00460186,6195148.00000000,1346226236.00000000
GMCAR,GMCAR 2018-3,GM Financial Consumer Automobile Receivables Trust 2018-3,2018,26,2020-09-16,0.00534546,7258698.00000000,1357918658.00000000
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,2018,26,2020-06-16,0.00480379,6523532.00000000,1357996691.00000000
GMCAR,GMCAR 2018-4,GM Financial Consumer Automobile Receivables Trust 2018-4,2018,26,2020-12-16,0.00428697,5774966.00000000,1347098324.00000000
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,2018,27,2020-04-16,0.00469408,6319291.00000000,1346226236.00000000
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,2018,27,2020-07-16,0.00496246,6739000.00000000,1357996691.00000000
GMCAR,GMCAR 2018-3,GM Financial Consumer Automobile Receivables Trust 2018-3,2018,27,2020-10-16,0.00538592,7313644.00000000,1357918658.00000000
GMCAR,GMCAR 2018-4,GM Financial Consumer Automobile Receivables Trust 2018-4,2018,27,2021-01-19,0.00442967,5967196.00000000,1347098324.00000000
GMCAR,GMCAR 2018-4,GM Financial Consumer Automobile Receivables Trust 2018-4,2018,28,2021-02-16,0.00436259,5876841.00000000,1347098324.00000000
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,2018,28,2020-05-18,0.00478273,6438641.00000000,1346226236.00000000
GMCAR,GMCAR 2018-3,GM Financial Consumer Automobile Receivables Trust 2018-3,2018,28,2020-11-16,0.00537130,7293784.00000000,1357918658.00000000
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,2018,28,2020-08-17,0.00517654,7029719.00000000,1357996691.00000000
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,2018,29,2020-09-16,0.00516709,7016895.00000000,1357996691.00000000
GMCAR,GMCAR 2018-4,GM Financial Consumer Automobile Receivables Trust 2018-4,2018,29,2021-03-16,0.00440204,5929975.00000000,1347098324.00000000
GMCAR,GMCAR 2018-3,GM Financial Consumer Automobile Receivables Trust 2018-3,2018,29,2020-12-16,0.00545980,7413966.00000000,1357918658.00000000
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,2018,29,2020-06-16,0.00495119,6665427.00000000,1346226236.00000000
GMCAR,GMCAR 2018-4,GM Financial Consumer Automobile Receivables Trust 2018-4,2018,30,2021-04-16,0.00448342,6039607.00000000,1347098324.00000000
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,2018,30,2020-07-16,0.00515425,6938790.00000000,1346226236.00000000
GMCAR,GMCAR 2018-3,GM Financial Consumer Automobile Receivables Trust 2018-3,2018,30,2021-01-19,0.00549985,7468355.00000000,1357918658.00000000
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,2018,30,2020-10-16,0.00529775,7194329.00000000,1357996691.00000000
GMCAR,GMCAR 2018-3,GM Financial Consumer Automobile Receivables Trust 2018-3,2018,31,2021-02-16,0.00561603,7626113.00000000,1357918658.00000000
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,2018,31,2020-11-16,0.00532186,7227068.00000000,1357996691.00000000
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,2018,31,2020-08-17,0.00537854,7240732.00000000,1346226236.00000000
GMCAR,GMCAR 2018-4,GM Financial Consumer Automobile Receivables Trust 2018-4,2018,31,2021-05-17,0.00449962,6061436.00000000,1347098324.00000000
GMCAR,GMCAR 2018-3,GM Financial Consumer Automobile Receivables Trust 2018-3,2018,32,2021-03-16,0.00564253,7662102.00000000,1357918658.00000000
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,2018,32,2020-12-16,0.00533123,7239793.00000000,1357996691.00000000
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,2018,32,2020-09-16,0.00539657,7265008.00000000,1346226236.00000000
GMCAR,GMCAR 2018-4,GM Financial Consumer Automobile Receivables Trust 2018-4,2018,32,2021-06-16,0.00450823,6073033.00000000,1347098324.00000000
GMCAR,GMCAR 2018-3,GM Financial Consumer Automobile Receivables Trust 2018-3,2018,33,2021-04-16,0.00566735,7695797.00000000,1357918658.00000000
GMCAR,GMCAR 2018-4,GM Financial Consumer Automobile Receivables Trust 2018-4,2018,33,2021-07-16,0.00454161,6117993.00000000,1347098324.00000000
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,2018,33,2021-01-19,0.00534156,7253822.00000000,1357996691.00000000
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,2018,33,2020-10-16,0.00543572,7317712.00000000,1346226236.00000000
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,2018,34,2021-02-16,0.00536372,7283908.00000000,1357996691.00000000
GMCAR,GMCAR 2018-4,GM Financial Consumer Automobile Receivables Trust 2018-4,2018,34,2021-08-16,0.00456491,6149376.00000000,1347098324.00000000
GMCAR,GMCAR 2018-3,GM Financial Consumer Automobile Receivables Trust 2018-3,2018,34,2021-05-17,0.00567349,7704132.00000000,1357918658.00000000
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,2018,34,2020-11-16,0.00556495,7491688.00000000,1346226236.00000000
GMCAR,GMCAR 2018-3,GM Financial Consumer Automobile Receivables Trust 2018-3,2018,35,2021-06-16,0.00561506,7624793.00000000,1357918658.00000000
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,2018,35,2020-12-16,0.00560910,7551111.00000000,1346226236.00000000
GMCAR,GMCAR 2018-4,GM Financial Consumer Automobile Receivables Trust 2018-4,2018,35,2021-09-16,0.00459888,6195147.00000000,1347098324.00000000
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,2018,35,2021-03-16,0.00539934,7332281.00000000,1357996691.00000000
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,2018,36,2021-04-16,0.00548950,7454721.00000000,1357996691.00000000
GMCAR,GMCAR 2018-4,GM Financial Consumer Automobile Receivables Trust 2018-4,2018,36,2021-10-18,0.00454692,6125155.00000000,1347098324.00000000
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,2018,36,2021-01-19,0.00566258,7623119.00000000,1346226236.00000000
GMCAR,GMCAR 2018-3,GM Financial Consumer Automobile Receivables Trust 2018-3,2018,36,2021-07-16,0.00561284,7621783.00000000,1357918658.00000000
GMCAR,GMCAR 2018-3,GM Financial Consumer Automobile Receivables Trust 2018-3,2018,37,2021-08-16,0.00565444,7678271.00000000,1357918658.00000000
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,2018,37,2021-02-16,0.00559002,7525435.00000000,1346226236.00000000
GMCAR,GMCAR 2018-4,GM Financial Consumer Automobile Receivables Trust 2018-4,2018,37,2021-11-16,0.00455973,6142401.00000000,1347098324.00000000
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,2018,37,2021-05-17,0.00550623,7477439.00000000,1357996691.00000000
GMCAR,GMCAR 2018-3,GM Financial Consumer Automobile Receivables Trust 2018-3,2018,38,2021-09-16,0.00566586,7693771.00000000,1357918658.00000000
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,2018,38,2021-06-16,0.00546713,7424346.00000000,1357996691.00000000
GMCAR,GMCAR 2018-4,GM Financial Consumer Automobile Receivables Trust 2018-4,2018,38,2021-12-16,0.00464587,6258445.00000000,1347098324.00000000
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,2018,38,2021-03-16,0.00559103,7526789.00000000,1346226236.00000000
GMCAR,GMCAR 2018-4,GM Financial Consumer Automobile Receivables Trust 2018-4,2018,39,2022-01-18,0.00466268,6281093.00000000,1347098324.00000000
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,2018,39,2021-04-16,0.00562119,7567399.00000000,1346226236.00000000
GMCAR,GMCAR 2018-3,GM Financial Consumer Automobile Receivables Trust 2018-3,2018,39,2021-10-18,0.00576410,7827179.00000000,1357918658.00000000
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,2018,39,2021-07-16,0.00547436,7434166.00000000,1357996691.00000000
GMCAR,GMCAR 2018-3,GM Financial Consumer Automobile Receivables Trust 2018-3,2018,40,2021-11-16,0.00568395,7718338.00000000,1357918658.00000000
GMCAR,GMCAR 2018-4,GM Financial Consumer Automobile Receivables Trust 2018-4,2018,40,2022-02-16,0.00467020,6291224.00000000,1347098324.00000000
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,2018,40,2021-08-16,0.00542780,7370930.00000000,1357996691.00000000
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,2018,40,2021-05-17,0.00558992,7525296.00000000,1346226236.00000000
GMCAR,GMCAR 2018-3,GM Financial Consumer Automobile Receivables Trust 2018-3,2018,41,2021-12-16,0.00563818,7656185.00000000,1357918658.00000000
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,2018,41,2021-09-16,0.00543755,7384175.00000000,1357996691.00000000
GMCAR,GMCAR 2018-4,GM Financial Consumer Automobile Receivables Trust 2018-4,2018,41,2022-03-16,0.00466593,6285473.00000000,1347098324.00000000
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,2018,41,2021-06-16,0.00560404,7544306.00000000,1346226236.00000000
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,2018,42,2021-10-18,0.00539831,7330888.00000000,1357996691.00000000
GMCAR,GMCAR 2018-3,GM Financial Consumer Automobile Receivables Trust 2018-3,2018,42,2022-01-18,0.00564153,7660743.00000000,1357918658.00000000
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,2018,42,2021-07-16,0.00550072,7405220.00000000,1346226236.00000000
GMCAR,GMCAR 2018-4,GM Financial Consumer Automobile Receivables Trust 2018-4,2018,42,2022-04-18,0.00467159,6293096.00000000,1347098324.00000000
GMCAR,GMCAR 2018-3,GM Financial Consumer Automobile Receivables Trust 2018-3,2018,43,2022-02-16,0.00568518,7720010.00000000,1357918658.00000000
GMCAR,GMCAR 2018-4,GM Financial Consumer Automobile Receivables Trust 2018-4,2018,43,2022-05-16,0.00466256,6280922.00000000,1347098324.00000000
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,2018,43,2021-11-16,0.00534307,7255871.00000000,1357996691.00000000
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,2018,43,2021-08-16,0.00545874,7348705.00000000,1346226236.00000000
GMCAR,GMCAR 2018-4,GM Financial Consumer Automobile Receivables Trust 2018-4,2018,44,2022-06-16,0.00464797,6261270.00000000,1347098324.00000000
GMCAR,GMCAR 2018-1,GM Financial Consumer Automobile Receivables Trust 2018-1,2018,44,2021-09-16,0.00543859,7321579.00000000,1346226236.00000000
GMCAR,GMCAR 2018-3,GM Financial Consumer Automobile Receivables Trust 2018-3,2018,44,2022-03-16,0.00569302,7730659.00000000,1357918658.00000000
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,2018,44,2021-12-16,0.00535194,7267918.00000000,1357996691.00000000
GMCAR,GMCAR 2018-3,GM Financial Consumer Automobile Receivables Trust 2018-3,2018,45,2022-04-18,0.00568959,7726006.00000000,1357918658.00000000
GMCAR,GMCAR 2018-4,GM Financial Consumer Automobile Receivables Trust 2018-4,2018,45,2022-07-18,0.00464589,6258471.00000000,1347098324.00000000
GMCAR,GMCAR 2018-2,GM Financial Consumer Automobile Receivables Trust 2018-2,2018,45,2022-01-18,0.00535056,7266038.00000000,1357996691.00000000
